,title,genre,running_time,screening_rat,director,dir_movies,main_role_movies,rating
8414,라스트 리벤저,액션,100분,15세 관람가,제이 울펠,8개,7개,평점 중앙값 이상의 작품
8415,라스트 리벤지,장르 정보 없음,상영 시간 정보 없음,15세 관람가,프랭크 코라치,12개,15개,평점 중앙값 이상의 작품
8416,라스트 리소트,코미디,84분,15세 관람가,제인 버즈비,6개,35개,평점 중앙값 미만의 작품
8417,라스트 리소트,공포,상영 시간 정보 없음,15세 관람가,브랜든 넛,4개,12개,평점 중앙값 미만의 작품
8418,라스트 마샬,장르 정보 없음,상영 시간 정보 없음,15세 관람가,마이크 커튼,7개,68개,평점 중앙값 미만의 작품
8419,라스트 맨,액션,96분,청소년 관람불가,조셉 메리,104개,29개,평점 중앙값 이상의 작품
8420,라스트 맨 스탠딩,액션,101분,15세 관람가,월터 힐,41개,120개,평점 중앙값 이상의 작품
8421,라스트 맨 스탠딩 1,드라마,30분,상영등급 정보 없음,잭 버딧,9개,39개,평점 중앙값 이상의 작품
8422,라스트 맨 스탠딩 3,드라마,상영 시간 정보 없음,상영등급 정보 없음,크리스토프 샌더스,11개,연기자 없음,평점 중앙값 이상의 작품
8423,라스트 맨 스탠딩 4,장르 정보 없음,상영 시간 정보 없음,상영등급 정보 없음,팀 알렌,39개,연기자 없음,평점 중앙값 이상의 작품
8424,라스트 맨 스탠딩 5,장르 정보 없음,상영 시간 정보 없음,상영등급 정보 없음,팀 알렌,39개,연기자 없음,평점 중앙값 이상의 작품
8425,라스트 맨 클럽,드라마,96분,상영등급 정보 없음,보 브링크먼,5개,13개,평점 중앙값 미만의 작품
8426,라스트 모히칸,장르 정보 없음,상영 시간 정보 없음,NR,클라렌스 브라운,68개,53개,평점 중앙값 이상의 작품
8427,라스트 모히칸,TV영화,상영 시간 정보 없음,상영등급 정보 없음,제임스 L. 콘웨이,18개,39개,평점 중앙값 이상의 작품
8428,라스트 모히칸,장르 정보 없음,상영 시간 정보 없음,상영등급 정보 없음,시그먼드 뉴펠드,4개,34개,평점 중앙값 이상의 작품
8429,라스트 모히칸,액션,231분,NR,포드 비브,24개,32개,평점 중앙값 이상의 작품
8430,라스트 모히칸,전쟁,114분,15세 관람가,마이클 만,29개,22개,평점 중앙값 이상의 작품
8431,라스트 모히칸 2,모험,미국,12세 관람가,도널드 쉐비브,7개,30개,평점 중앙값 미만의 작품
8432,라스트 미션,드라마,105분,15세 관람가,조 마지오,4개,51개,평점 중앙값 이상의 작품
8433,라스트 미션,드라마,116분,15세 관람가,클린트 이스트우드,93개,93개,평점 중앙값 이상의 작품
8434,라스트 버진,코미디,92분,청소년 관람불가,보즈 데이비슨,136개,15개,평점 중앙값 이상의 작품
8435,라스트 버팔로,다큐멘터리,상영 시간 정보 없음,상영등급 정보 없음,스티븐 로우,8개,연기자 없음,평점 중앙값 이상의 작품
8436,라스트 부르맨,장르 정보 없음,1977 .09.27 개봉,전체 관람가,딕 리처즈,7개,77개,평점 중앙값 이상의 작품
8437,라스트 브로드웨이,장르 정보 없음,상영 시간 정보 없음,청소년 관람불가,크리스티안 파버,7개,5개,평점 중앙값 이상의 작품
8438,라스트 브로드캐스트,드라마,상영 시간 정보 없음,상영등급 정보 없음,제이슨 할로우즈,2개,연기자 없음,평점 중앙값 미만의 작품
8439,라스트 사무라이,액션,153분,15세 관람가,에드워드 즈윅,25개,66개,평점 중앙값 이상의 작품
8440,라스트 서렌더,장르 정보 없음,상영 시간 정보 없음,15세 관람가,데이빗 밋첼,14개,29개,평점 중앙값 미만의 작품
8441,라스트 센티널,장르 정보 없음,상영 시간 정보 없음,15세 관람가,제시 V. 존슨,19개,31개,평점 중앙값 미만의 작품
8442,라스트 송,드라마,107분,12세 관람가,줄리 앤 로빈슨,9개,19개,평점 중앙값 이상의 작품
8443,라스트 스톱 포 폴,장르 정보 없음,상영 시간 정보 없음,12세 관람가,닐 맨트,3개,3개,평점 중앙값 이상의 작품
8444,라스트 시크릿,스릴러,90분,청소년 관람불가,콜린 크리셀,1개,8개,평점 중앙값 미만의 작품
8445,라스트 시프트,코미디,90분,12세 관람가,앤드류 콘,3개,92개,평점 중앙값 미만의 작품
8446,라스트 썸머,코미디,109분,15세 관람가,윌리엄 빈들리,8개,6개,평점 중앙값 미만의 작품
8447,라스트 썸머 인 더 햄튼,코미디,108분,상영등급 정보 없음,헨리 자그롬,15개,2개,평점 중앙값 미만의 작품
8448,라스트 씬 이터,장르 정보 없음,상영 시간 정보 없음,12세 관람가,마이클 랜던 주니어,10개,56개,평점 중앙값 미만의 작품
8449,라스트 아메리칸 히어로,드라마,95분,전체 관람가,라몽 존슨,18개,76개,평점 중앙값 이상의 작품
8450,라스트 아웃포스트,장르 정보 없음,상영 시간 정보 없음,NR,루이스 R. 포스터,17개,22개,평점 중앙값 이상의 작품
8451,라스트 아워즈 인 서버비어,범죄,87분,상영등급 정보 없음,존 스팀슨,7개,13개,평점 중앙값 미만의 작품
8452,라스트 아파치,드라마,상영 시간 정보 없음,12세 관람가,해리 훅,4개,78개,평점 중앙값 이상의 작품
8453,라스트 앵그리 맨,장르 정보 없음,상영 시간 정보 없음,NR,다니엘 만,29개,14개,평점 중앙값 이상의 작품
8454,라스트 어드레스,다큐멘터리,8분,상영등급 정보 없음,아이라 잭스,10개,연기자 없음,평점 중앙값 이상의 작품
8455,라스트 어페어,드라마,80분,15세 관람가,헨리 카르,19개,35개,평점 중앙값 미만의 작품
8456,라스트 에그자일,애니메이션,상영 시간 정보 없음,상영등급 정보 없음,치바 다이스케,2개,10개,평점 중앙값 이상의 작품
8457,라스트 에어벤더,판타지,103분,전체 관람가,M. 나이트 샤말란,17개,2개,평점 중앙값 미만의 작품
8458,라스트 엑소시스트,공포,79분,청소년 관람불가,로빈 베인,8개,15개,평점 중앙값 미만의 작품
8459,라스트 엑소시즘 3,공포,92분,15세 관람가,트립 웨더스,1개,11개,평점 중앙값 미만의 작품
8460,라스트 엑시트,드라마,60분,15세 관람가,다라 오움,1개,3개,평점 중앙값 미만의 작품
8461,라스트 엑시트 투 어스,드라마,미국,15세 관람가,캣 쉐어,15개,18개,평점 중앙값 미만의 작품
8462,라스트 엔젤,드라마,미국,청소년 관람불가,마이클 스콧,20개,20개,평점 중앙값 미만의 작품
8463,라스트 온스 오브 커리지,드라마,101분,전체 관람가,다렐 캠벨,4개,35개,평점 중앙값 미만의 작품
8464,라스트 왈츠,다큐멘터리,117분,전체 관람가,마틴 스콜세지,112개,15개,평점 중앙값 이상의 작품
8465,라스트 위쉬,TV영화,상영 시간 정보 없음,상영등급 정보 없음,제프 브레크너,25개,36개,평점 중앙값 이상의 작품
8466,라스트 위치 헌터,액션,106분,15세 관람가,브렉 에이즈너,9개,38개,평점 중앙값 이상의 작품
8467,라스트 위켄드,코미디,94분,상영등급 정보 없음,톰 돌비,5개,75개,평점 중앙값 미만의 작품
8468,라스트 위크 투나잇 위드 존 올리버,코미디,30분,상영등급 정보 없음,폴 페놀리노,2개,8개,평점 중앙값 이상의 작품
8469,라스트 윈터,드라마,115분,NR,애론 킴 존스톤,7개,17개,평점 중앙값 미만의 작품
8470,라스트 윌 앤드 엠베즐먼트,다큐멘터리,84분,상영등급 정보 없음,데보라 루이즈 로빈슨,1개,96개,평점 중앙값 이상의 작품
8471,라스트 유니콘,가족,상영 시간 정보 없음,전체 관람가,줄스 배스,20개,78개,평점 중앙값 이상의 작품
8472,라스트 이노센트 맨,스릴러,미국,상영등급 정보 없음,로저 스포티스우드,33개,84개,평점 중앙값 이상의 작품
8473,라스트 이미지스 오브 워,다큐멘터리,상영 시간 정보 없음,상영등급 정보 없음,스콧 앤드류스,1개,1개,평점 중앙값 이상의 작품
8474,라스트 이브,장르 정보 없음,상영 시간 정보 없음,상영등급 정보 없음,강영만,21개,1개,평점 중앙값 미만의 작품
8475,라스트 찬스 디텍티브 - 이스케이프 프럼 파이어 레이크,모험,"미국 , 캐나다",상영등급 정보 없음,스티븐 스타일즈,1개,18개,평점 중앙값 이상의 작품
8476,라스트 챈트 포 어 슬로우 댄스,드라마,90분,상영등급 정보 없음,존 조스트,17개,2개,평점 중앙값 이상의 작품
8477,라스트 카우보이,액션,84분,15세 관람가,브렛 벤트맨,7개,2개,평점 중앙값 미만의 작품
8478,라스트 카우보이,모험,미국,전체 관람가,토미 리 존스,66개,48개,평점 중앙값 이상의 작품
8479,라스트 카인드 워즈,드라마,87분,상영등급 정보 없음,케빈 바커,5개,88개,평점 중앙값 미만의 작품
8480,라스트 캅,장르 정보 없음,1990 .11.24 개봉,상영등급 정보 없음,킴 매너스,18개,52개,평점 중앙값 이상의 작품
8481,라스트 캐슬,액션,131분,15세 관람가,로드 루리,12개,80개,평점 중앙값 이상의 작품
8482,라스트 캠페인 오브 거버너 부스 가드너,다큐멘터리,37분,상영등급 정보 없음,다니엘 준지,9개,연기자 없음,평점 중앙값 이상의 작품
8483,라스트 콜 앳 디 오아시스,다큐멘터리,105분,12세 관람가,제시카 유,15개,2개,평점 중앙값 이상의 작품
8484,라스트 콜스: 더 셧다운 오브 NYC 바,다큐멘터리,60분,상영등급 정보 없음,조니 스위트,2개,연기자 없음,평점 중앙값 이상의 작품
8485,라스트 키스,코미디,104분,12세 관람가,토니 골드윈,54개,19개,평점 중앙값 이상의 작품
8486,라스트 타이쿤,장르 정보 없음,상영 시간 정보 없음,전체 관람가,엘리아 카잔,26개,132개,평점 중앙값 이상의 작품
8487,라스트 타임 포에버,범죄,상영 시간 정보 없음,상영등급 정보 없음,애덤 본파티,1개,7개,평점 중앙값 이상의 작품
8488,라스트 투 고,드라마,미국,상영등급 정보 없음,존 어만,31개,1개,평점 중앙값 이상의 작품
8489,라스트 파티,다큐멘터리,96분,상영등급 정보 없음,마크 벤자민,7개,87개,평점 중앙값 이상의 작품
8490,라스트 패스포트,드라마,89분,상영등급 정보 없음,켄트 스미스,1개,15개,평점 중앙값 이상의 작품
8491,라스트 페이스,드라마,131분,청소년 관람불가,숀 펜,65개,42개,평점 중앙값 미만의 작품
8492,라스트 풀 메저,드라마,116분,15세 관람가,토드 로빈슨,7개,33개,평점 중앙값 이상의 작품
8493,라스트 프라이데이,공포,89분,청소년 관람불가,애덤 마커스,7개,4개,평점 중앙값 미만의 작품
